dataset,algorithm,n,avg_microseconds,avg_char_comparisons,sorted
reversed,msd_radix_sort_with_cutoff,2900,52.58,16535.00,true
reversed,quick_sort,3000,174.73,45741.00,true
reversed,merge_sort,3000,100.98,28168.00,true
reversed,ternary_string_quick_sort,3000,76.58,28882.00,true
reversed,string_merge_sort_lcp,3000,2675.43,11980.00,true
reversed,msd_radix_sort,3000,218.15,14574.00,true
reversed,msd_radix_sort_with_cutoff,3000,55.52,17113.00,true
nearly_sorted,quick_sort,100,4.69,1088.00,true
nearly_sorted,merge_sort,100,2.43,702.00,true
nearly_sorted,ternary_string_quick_sort,100,1.53,516.00,true
nearly_sorted,string_merge_sort_lcp,100,54.98,339.00,true
nearly_sorted,msd_radix_sort,100,7.41,482.00,true
nearly_sorted,msd_radix_sort_with_cutoff,100,2.02,541.00,true
nearly_sorted,quick_sort,200,9.23,2087.00,true
nearly_sorted,merge_sort,200,4.82,1531.00,true
nearly_sorted,ternary_string_quick_sort,200,3.38,1238.00,true
nearly_sorted,string_merge_sort_lcp,200,117.68,732.00,true
nearly_sorted,msd_radix_sort,200,12.67,936.00,true
nearly_sorted,msd_radix_sort_with_cutoff,200,3.66,1125.00,true
nearly_sorted,quick_sort,300,13.94,3302.00,true
nearly_sorted,merge_sort,300,7.88,2480.00,true
nearly_sorted,ternary_string_quick_sort,300,5.24,1924.00,true
nearly_sorted,string_merge_sort_lcp,300,192.65,1089.00,true
nearly_sorted,msd_radix_sort,300,18.94,1416.00,true
nearly_sorted,msd_radix_sort_with_cutoff,300,5.01,1691.00,true
nearly_sorted,quick_sort,400,19.72,4673.00,true
nearly_sorted,merge_sort,400,10.77,3518.00,true
nearly_sorted,ternary_string_quick_sort,400,7.44,2760.00,true
nearly_sorted,string_merge_sort_lcp,400,263.02,1497.00,true
nearly_sorted,msd_radix_sort,400,25.23,1882.00,true
nearly_sorted,msd_radix_sort_with_cutoff,400,6.79,2227.00,true
nearly_sorted,quick_sort,500,25.40,5986.00,true
nearly_sorted,merge_sort,500,14.43,4623.00,true
nearly_sorted,ternary_string_quick_sort,500,9.19,3690.00,true
nearly_sorted,string_merge_sort_lcp,500,339.03,1874.00,true
nearly_sorted,msd_radix_sort,500,32.17,2366.00,true
nearly_sorted,msd_radix_sort_with_cutoff,500,8.47,2801.00,true
nearly_sorted,quick_sort,600,30.93,7464.00,true
nearly_sorted,merge_sort,600,17.27,5612.00,true
nearly_sorted,ternary_string_quick_sort,600,11.19,4584.00,true
nearly_sorted,string_merge_sort_lcp,600,419.14,2199.00,true
nearly_sorted,msd_radix_sort,600,37.55,2826.00,true
nearly_sorted,msd_radix_sort_with_cutoff,600,10.22,3379.00,true
nearly_sorted,quick_sort,700,37.05,8833.00,true
nearly_sorted,merge_sort,700,20.77,6566.00,true
nearly_sorted,ternary_string_quick_sort,700,13.19,5434.00,true
nearly_sorted,string_merge_sort_lcp,700,506.57,2594.00,true
nearly_sorted,msd_radix_sort,700,44.33,3308.00,true
nearly_sorted,msd_radix_sort_with_cutoff,700,11.85,3935.00,true
nearly_sorted,quick_sort,800,42.32,10453.00,true
nearly_sorted,merge_sort,800,24.33,7807.00,true
nearly_sorted,ternary_string_quick_sort,800,16.47,6404.00,true
nearly_sorted,string_merge_sort_lcp,800,590.06,2960.00,true
nearly_sorted,msd_radix_sort,800,50.90,3780.00,true
nearly_sorted,msd_radix_sort_with_cutoff,800,12.57,4494.00,true
nearly_sorted,quick_sort,900,48.29,11999.00,true
nearly_sorted,merge_sort,900,27.92,9062.00,true
nearly_sorted,ternary_string_quick_sort,900,19.25,7680.00,true
nearly_sorted,string_merge_sort_lcp,900,669.61,3380.00,true
nearly_sorted,msd_radix_sort,900,56.88,4264.00,true
nearly_sorted,msd_radix_sort_with_cutoff,900,14.92,5069.00,true
nearly_sorted,quick_sort,1000,53.42,13366.00,true
nearly_sorted,merge_sort,1000,31.93,10254.00,true
nearly_sorted,ternary_string_quick_sort,1000,21.08,8179.00,true
nearly_sorted,string_merge_sort_lcp,1000,742.51,3970.00,true
nearly_sorted,msd_radix_sort,1000,65.82,4766.00,true
nearly_sorted,msd_radix_sort_with_cutoff,1000,17.54,5713.00,true
nearly_sorted,quick_sort,1100,58.95,14388.00,true
nearly_sorted,merge_sort,1100,34.98,11535.00,true
nearly_sorted,ternary_string_quick_sort,1100,24.09,9024.00,true
nearly_sorted,string_merge_sort_lcp,1100,829.34,4476.00,true
nearly_sorted,msd_radix_sort,1100,72.15,5244.00,true
nearly_sorted,msd_radix_sort_with_cutoff,1100,19.08,6270.00,true
nearly_sorted,quick_sort,1200,65.26,16301.00,true
nearly_sorted,merge_sort,1200,39.55,12544.00,true
nearly_sorted,ternary_string_quick_sort,1200,26.37,10125.00,true
nearly_sorted,string_merge_sort_lcp,1200,925.48,4729.00,true
nearly_sorted,msd_radix_sort,1200,80.14,5732.00,true
nearly_sorted,msd_radix_sort_with_cutoff,1200,20.90,6874.00,true
nearly_sorted,quick_sort,1300,71.63,17524.00,true
nearly_sorted,merge_sort,1300,43.66,13645.00,true
nearly_sorted,ternary_string_quick_sort,1300,29.72,10993.00,true
nearly_sorted,string_merge_sort_lcp,1300,1004.92,5149.00,true
nearly_sorted,msd_radix_sort,1300,84.84,6210.00,true
nearly_sorted,msd_radix_sort_with_cutoff,1300,23.03,7453.00,true
nearly_sorted,quick_sort,1400,79.61,19362.00,true
nearly_sorted,merge_sort,1400,48.89,14757.00,true
nearly_sorted,ternary_string_quick_sort,1400,32.19,12098.00,true
nearly_sorted,string_merge_sort_lcp,1400,1123.62,5537.00,true
nearly_sorted,msd_radix_sort,1400,96.62,6710.00,true
nearly_sorted,msd_radix_sort_with_cutoff,1400,26.00,8036.00,true
nearly_sorted,quick_sort,1500,85.98,20720.00,true
nearly_sorted,merge_sort,1500,53.70,16372.00,true
nearly_sorted,ternary_string_quick_sort,1500,35.98,12998.00,true
nearly_sorted,string_merge_sort_lcp,1500,1267.87,6012.00,true
nearly_sorted,msd_radix_sort,1500,105.48,7200.00,true
nearly_sorted,msd_radix_sort_with_cutoff,1500,29.62,8651.00,true
nearly_sorted,quick_sort,1600,91.94,22472.00,true
nearly_sorted,merge_sort,1600,57.84,17330.00,true
nearly_sorted,ternary_string_quick_sort,1600,40.19,14083.00,true
nearly_sorted,string_merge_sort_lcp,1600,1348.48,6366.00,true
nearly_sorted,msd_radix_sort,1600,112.65,7684.00,true
nearly_sorted,msd_radix_sort_with_cutoff,1600,31.19,9224.00,true
nearly_sorted,quick_sort,1700,104.34,26482.00,true
nearly_sorted,merge_sort,1700,61.95,18427.00,true
nearly_sorted,ternary_string_quick_sort,1700,43.00,15400.00,true
nearly_sorted,string_merge_sort_lcp,1700,1429.14,6851.00,true
nearly_sorted,msd_radix_sort,1700,121.32,8192.00,true
nearly_sorted,msd_radix_sort_with_cutoff,1700,33.18,9835.00,true
nearly_sorted,quick_sort,1800,104.82,25404.00,true
nearly_sorted,merge_sort,1800,65.43,19982.00,true
nearly_sorted,ternary_string_quick_sort,1800,45.60,16008.00,true
nearly_sorted,string_merge_sort_lcp,1800,1561.70,7254.00,true
nearly_sorted,msd_radix_sort,1800,127.28,8650.00,true
nearly_sorted,msd_radix_sort_with_cutoff,1800,34.70,10388.00,true
